Borough,School_Name,Phase,Type_Group,Capacity,Pupils,FSM_Percent,Gender,Religious_Character
Hackney,Harrington Hill Primary School,Primary,Local authority maintained schools,240,186,51.9,Mixed,Does not apply
Hackney,Holmleigh Primary School,Primary,Local authority maintained schools,420,224,40.8,Mixed,Does not apply
Hackney,Grazebrook Primary School,Primary,Local authority maintained schools,480,471,27.3,Mixed,Does not apply
Hackney,Parkwood Primary School,Primary,Local authority maintained schools,240,197,46.5,Mixed,Does not apply
Hackney,Benthal Primary School,Primary,Local authority maintained schools,414,261,60.0,Mixed,Does not apply
Hackney,Mandeville Primary School,Primary,Local authority maintained schools,420,275,57.3,Mixed,Does not apply
Hackney,Holy Trinity Church of England Primary School,Primary,Local authority maintained schools,240,249,46.4,Mixed,Church of England
Hackney,Our Lady and St Joseph Catholic Primary School,Primary,Local authority maintained schools,210,201,24.4,Mixed,Catholic
Hackney,St John the Baptist Voluntary Aided Church of England Primary School,Primary,Local authority maintained schools,451,256,55.8,Mixed,Church of England
Hackney,St Matthias Church of England Primary School,Primary,Local authority maintained schools,240,160,66.7,Mixed,Church of England
Hackney,St. Paul's With St. Michael's CofE Primary School,Primary,Local authority maintained schools,236,188,62.4,Mixed,Church of England
Hackney,St John of Jerusalem Church of England Primary School,Primary,Local authority maintained schools,210,152,52.6,Mixed,Church of England
Hackney,St Scholastica's Catholic Primary School,Primary,Local authority maintained schools,236,185,67.9,Mixed,Roman Catholic
Hackney,Simon Marks Jewish Primary School,Primary,Local authority maintained schools,240,124,28.6,Mixed,Jewish
Hackney,Stoke Newington School and Sixth Form,Secondary,Local authority maintained schools,1700,1647,38.4,Mixed,Does not apply
Hackney,All Saints Catholic High School,Secondary,Local authority maintained schools,756,499,50.1,Mixed,Roman Catholic
Hackney,The Urswick School - A Church of England Secondary School,Secondary,Local authority maintained schools,1050,803,69.8,Mixed,Church of England
Hackney,Yesodey Hatorah School,Not applicable,Independent schools,920,203,0,Boys,None
Hackney,Talmud Torah Yetev Lev,Not applicable,Independent schools,567,483,0,Boys,None
Hackney,Bnois Jerusalem Girls School,Not applicable,Independent schools,850,615,0,Girls,None
Hackney,Beis Rochel d'Satmar Girls' School,Not applicable,Independent schools,1475,1326,0,Mixed,Orthodox Jewish
Hackney,Talmud Torah Machzikei Hadass School,Not applicable,Independent schools,650,533,0,Boys,Charadi Jewish
Hackney,Beis Malka Girls' School,Not applicable,Independent schools,620,599,0,Girls,None
Hackney,Talmud Torah Chaim Meirim Wiznitz School,Not applicable,Independent schools,400,241,0,Boys,None
Hackney,Bobov Primary Boys School,Not applicable,Independent schools,310,221,0,Boys,None
Hackney,T T T Y Y School,Not applicable,Independent schools,199,150,0,Boys,None
Hackney,Tayyibah Girls' School,Not applicable,Independent schools,259,173,0,Girls,None
Hackney,Stormont House School,Not applicable,Special schools,120,139,61.7,Mixed,Does not apply
Hackney,The Garden School,Not applicable,Special schools,200,199,57.1,Mixed,Does not apply
Hackney,Ickburgh School,Not applicable,Special schools,150,166,65.1,Mixed,Does not apply
Hammersmith and Fulham,Randolph Beresford Early Years Centre,Nursery,Local authority maintained schools,0,130,26.1,Mixed,Does not apply
Hammersmith and Fulham,Vanessa Nursery School,Nursery,Local authority maintained schools,0,79,17.2,Mixed,Does not apply
Hammersmith and Fulham,James Lee Nursery School,Nursery,Local authority maintained schools,0,33,9.1,Mixed,Does not apply
Hammersmith and Fulham,Bayonne Nursery School,Nursery,Local authority maintained schools,0,64,20.0,Mixed,Does not apply
Hammersmith and Fulham,Addison Primary School,Primary,Local authority maintained schools,420,200,30.5,Mixed,Does not apply
Hammersmith and Fulham,Avonmore Primary School,Primary,Local authority maintained schools,216,184,32.6,Mixed,Does not apply
Hammersmith and Fulham,Brackenbury Primary School,Primary,Local authority maintained schools,446,318,38.3,Mixed,Does not apply
Hammersmith and Fulham,Miles Coverdale Primary School,Primary,Local authority maintained schools,210,225,40.8,Mixed,Does not apply
Hammersmith and Fulham,Flora Gardens Primary School,Primary,Local authority maintained schools,210,186,53.4,Mixed,Does not apply
Hammersmith and Fulham,Kenmont Primary School,Primary,Local authority maintained schools,240,218,34.4,Mixed,Does not apply
Hammersmith and Fulham,Melcombe Primary School,Primary,Local authority maintained schools,210,136,55.9,Mixed,Does not apply
Hammersmith and Fulham,Old Oak Primary School,Primary,Local authority maintained schools,470,205,45.1,Mixed,Does not apply
Hammersmith and Fulham,Sir John Lillie Primary School,Primary,Local authority maintained schools,420,191,47.3,Mixed,Does not apply
Hammersmith and Fulham,Wendell Park Primary School,Primary,Local authority maintained schools,472,396,24.2,Mixed,Does not apply
Hammersmith and Fulham,Wormholt Park Primary School,Primary,Local authority maintained schools,459,310,47.7,Mixed,Does not apply
Hammersmith and Fulham,All Saints CofE Primary School,Primary,Local authority maintained schools,236,213,17.9,Mixed,Church of England
Hammersmith and Fulham,Holy Cross RC School,Primary,Local authority maintained schools,646,622,11.3,Mixed,Roman Catholic
Hammersmith and Fulham,John Betts Primary School,Primary,Local authority maintained schools,210,202,11.9,Mixed,None
Hammersmith and Fulham,St John's Walham Green Church of England Primary School,Primary,Local authority maintained schools,446,394,16.8,Mixed,Church of England
Hammersmith and Fulham,St Mary's Catholic Primary School,Primary,Local authority maintained schools,236,177,35.0,Mixed,Roman Catholic
Hammersmith and Fulham,St Paul's CofE Primary School,Primary,Local authority maintained schools,235,159,29.9,Mixed,Church of England
Hammersmith and Fulham,St Peter's Primary School,Primary,Local authority maintained schools,210,209,12.4,Mixed,Church of England
Hammersmith and Fulham,St Stephen's CofE Primary School,Primary,Local authority maintained schools,446,440,14.3,Mixed,Church of England
Hammersmith and Fulham,Good Shepherd RC Primary School,Primary,Local authority maintained schools,210,227,12.8,Mixed,Roman Catholic
Hammersmith and Fulham,St Thomas of Canterbury Catholic Primary School,Primary,Local authority maintained schools,210,75,44.0,Mixed,Catholic
Hammersmith and Fulham,St Paul's Girls' School,Not applicable,Independent schools,850,824,0,Girls,Church of England
Hammersmith and Fulham,Bute House Preparatory School for Girls,Not applicable,Independent schools,330,328,0,Girls,None
Hammersmith and Fulham,The Godolphin and Latymer School,Not applicable,Independent schools,840,804,0,Girls,None
Hammersmith and Fulham,Latymer Upper School and Latymer Prep,Not applicable,Independent schools,1450,1428,0,Mixed,None
Hammersmith and Fulham,Ecole Française de Londres Jacques Prévert,Not applicable,Independent schools,292,262,0,Mixed,None
Hammersmith and Fulham,Evergreen Primary School,Not applicable,Independent schools,211,73,0,Mixed,Islam
Hammersmith and Fulham,Ravenscourt Park Preparatory School,Not applicable,Independent schools,420,418,0,Mixed,None
Hammersmith and Fulham,L'Ecole des Petits School,Not applicable,Independent schools,141,107,0,Mixed,None
Hammersmith and Fulham,Woodlane High School,Not applicable,Special schools,100,106,54.7,Mixed,Does not apply
Hammersmith and Fulham,Jack Tizard School,Not applicable,Special schools,70,73,58.3,Mixed,Does not apply
Hammersmith and Fulham,Cambridge School,Not applicable,Special schools,129,143,63.6,Mixed,Does not apply
Islington,Margaret McMillan Nursery School,Nursery,Local authority maintained schools,0,81,22.2,Mixed,Does not apply
Islington,Kate Greenaway Nursery School and Children's Centre,Nursery,Local authority maintained schools,0,91,12.3,Mixed,Does not apply
Islington,North Islington Nursery School,Nursery,Local authority maintained schools,0,108,9.4,Mixed,Does not apply
Islington,New River College Primary,Not applicable,Local authority maintained schools,0,10,100.0,Mixed,Does not apply
Islington,New River College Secondary,Not applicable,Local authority maintained schools,0,61,68.9,Mixed,Does not apply
Islington,Ambler Primary School and Children's Centre,Primary,Local authority maintained schools,508,525,29.8,Mixed,Does not apply
Islington,Drayton Park Primary School,Primary,Local authority maintained schools,311,257,32.8,Mixed,Does not apply
Islington,Duncombe Primary School,Primary,Local authority maintained schools,480,438,61.8,Mixed,Does not apply
Islington,Gillespie Primary School,Primary,Local authority maintained schools,236,208,13.0,Mixed,Does not apply
Islington,Grafton Primary School,Primary,Local authority maintained schools,522,461,42.2,Mixed,Does not apply
Islington,Hanover Primary School,Primary,Local authority maintained schools,341,235,38.4,Mixed,Does not apply
Islington,Hargrave Park Primary School,Primary,Local authority maintained schools,388,341,53.7,Mixed,Does not apply
Islington,Laycock Primary School,Primary,Local authority maintained schools,444,235,55.7,Mixed,Does not apply
Islington,Moreland Primary School,Primary,Local authority maintained schools,442,472,50.0,Mixed,Does not apply
Islington,Pakeman Primary School,Primary,Local authority maintained schools,349,327,57.5,Mixed,Does not apply
Islington,Robert Blair School and Children's Centre,Primary,Local authority maintained schools,251,219,36.6,Mixed,Does not apply
Islington,Thornhill Primary School,Primary,Local authority maintained schools,468,459,38.4,Mixed,Does not apply
Islington,Vittoria Primary School,Primary,Local authority maintained schools,250,219,56.1,Mixed,Does not apply
Islington,Winton Primary School,Primary,Local authority maintained schools,244,250,58.5,Mixed,Does not apply
Islington,Yerbury Primary School,Primary,Local authority maintained schools,459,455,15.9,Mixed,Does not apply
Islington,Tufnell Park Primary School,Primary,Local authority maintained schools,484,458,44.2,Mixed,Does not apply
Islington,Ashmount Primary School,Primary,Local authority maintained schools,450,395,40.3,Mixed,Does not apply
Islington,Prior Weston Primary School and Children's Centre,Primary,Local authority maintained schools,450,298,40.0,Mixed,Does not apply
Islington,Sacred Heart Catholic Primary School,Primary,Local authority maintained schools,482,454,50.9,Mixed,Roman Catholic
Islington,St John Evangelist Catholic Primary School,Primary,Local authority maintained schools,259,235,71.1,Mixed,Roman Catholic
Islington,St John's Upper Holloway CofE Primary School,Primary,Local authority maintained schools,230,212,49.2,Mixed,Church of England
Islington,St John's Highbury Vale CofE Primary School,Primary,Local authority maintained schools,210,208,29.8,Mixed,Church of England
Islington,St Joseph's Catholic Primary School,Primary,Local authority maintained schools,510,510,31.0,Mixed,Roman Catholic
Islington,St Luke's CofE Primary School,Primary,Local authority maintained schools,241,208,56.9,Mixed,Church of England
Islington,St Mark's CofE Primary School,Primary,Local authority maintained schools,252,228,57.3,Mixed,Church of England
Islington,St Mary's CofE Primary School,Primary,Local authority maintained schools,210,163,55.8,Mixed,Church of England
Islington,St Peter and St Paul Catholic Primary School,Primary,Local authority maintained schools,240,220,56.8,Mixed,Roman Catholic
Islington,St Andrew's (Barnsbury) CofE Primary School,Primary,Local authority maintained schools,210,188,65.4,Mixed,Church of England
Islington,St Joan of Arc RC Primary School,Primary,Local authority maintained schools,420,433,29.2,Mixed,Roman Catholic
Islington,Christ The King Catholic Primary School,Primary,Local authority maintained schools,451,254,60.1,Mixed,Roman Catholic
